,FBS_%,FBS_grad,cell_count,cell_count_total,count_volume_ul,date,fMLP_grad,fMLP_nM,format,membrane_size,time_point_hr,total_cells_added,total_volume_ul,frac_migrated
0,10.0,0.0,8716.0,10895.0,1200.0,20200319.0,1.0,100.0,12-well,12 mm,0.5,435105.0,1500.0,0.02503993288976224
1,10.0,0.0,7470.0,9337.5,1200.0,20200319.0,1.0,100.0,12-well,12 mm,0.5,435105.0,1500.0,0.021460337159995863
2,10.0,0.0,14058.0,17572.5,1200.0,20200319.0,1.0,100.0,12-well,12 mm,1.0,435105.0,1500.0,0.040386803185438
3,10.0,0.0,8328.0,10410.0,1200.0,20200319.0,1.0,100.0,12-well,12 mm,1.0,435105.0,1500.0,0.023925259420139965
4,10.0,0.0,27126.0,67815.0,600.0,20200319.0,1.0,100.0,12-well,12 mm,4.0,435105.0,1500.0,0.1558589306029579
5,10.0,0.0,27199.0,67997.5,600.0,20200319.0,1.0,100.0,12-well,12 mm,4.0,435105.0,1500.0,0.1562783695889498
6,10.0,0.0,1684.0,2105.0,1200.0,20200319.0,0.0,0.0,12-well,12 mm,0.5,435105.0,1500.0,0.004837912687742039
7,10.0,0.0,2394.0,2992.5,1200.0,20200319.0,0.0,0.0,12-well,12 mm,0.5,435105.0,1500.0,0.00687765022236012
8,10.0,0.0,9643.0,12053.75,1200.0,20200319.0,0.0,0.0,12-well,12 mm,1.0,435105.0,1500.0,0.027703083163834016
9,10.0,0.0,8771.0,10963.75,1200.0,20200319.0,1.0,100.0,12-well,12 mm,1.0,435105.0,1500.0,0.025197940726950967
10,10.0,0.0,27130.0,67825.0,600.0,20200319.0,0.0,0.0,12-well,12 mm,4.0,435105.0,1500.0,0.15588191356109446
11,10.0,0.0,26778.0,66945.0,600.0,20200319.0,0.0,0.0,12-well,12 mm,4.0,435105.0,1500.0,0.15385941324507876
12,10.0,0.0,11656.0,60611.200000000004,500.0,20200831.0,1.0,1.0,6-well,24 mm,1.5,2200000.0,2600.0,0.027550545454545456
13,10.0,0.0,42234.0,219616.80000000002,500.0,20200831.0,1.0,1.0,6-well,24 mm,1.5,2200000.0,2600.0,0.0998258181818182
14,10.0,0.0,8981.0,46701.200000000004,500.0,20200831.0,0.0,0.0,6-well,24 mm,1.5,2200000.0,2600.0,0.021227818181818185
15,10.0,0.0,38169.0,198478.80000000002,500.0,20200831.0,0.0,0.0,6-well,24 mm,1.5,2200000.0,2600.0,0.09021763636363637
16,10.0,1.0,24430.0,127036.0,500.0,20200901.0,0.0,0.0,6-well,24 mm,1.5,1200000.0,2600.0,0.10586333333333334
17,10.0,1.0,39317.0,204448.4,500.0,20200901.0,0.0,0.0,6-well,24 mm,1.5,1200000.0,2600.0,0.17037366666666667
18,10.0,1.0,52943.0,275303.60000000003,500.0,20200901.0,0.0,0.0,6-well,24 mm,3.0,1200000.0,2600.0,0.2294196666666667
19,10.0,1.0,53475.0,278070.0,500.0,20200901.0,0.0,0.0,6-well,24 mm,3.0,1200000.0,2600.0,0.231725
20,10.0,1.0,81263.0,422567.60000000003,500.0,20200901.0,0.0,0.0,6-well,24 mm,6.0,1200000.0,2600.0,0.3521396666666667
21,10.0,1.0,65364.0,339892.8,500.0,20200901.0,0.0,0.0,6-well,24 mm,6.0,1200000.0,2600.0,0.283244
22,10.0,1.0,24776.0,644176.0,100.0,20201030.0,0.0,0.0,6-well,24 mm,6.0,1395836.0,2600.0,0.4614983422121223
23,10.0,1.0,24985.0,649610.0,100.0,20201030.0,0.0,0.0,6-well,24 mm,6.0,1395836.0,2600.0,0.46539134970010804
24,10.0,1.0,24883.0,646958.0,100.0,20201030.0,0.0,0.0,6-well,24 mm,6.0,1395836.0,2600.0,0.46349141303133035
25,10.0,1.0,24570.0,638820.0,100.0,20201030.0,0.0,0.0,6-well,24 mm,6.0,1395836.0,2600.0,0.4576612152143948
26,10.0,1.0,25076.0,651976.0,100.0,20201030.0,0.0,0.0,6-well,24 mm,6.0,1395836.0,2600.0,0.4670863912379391
27,10.0,1.0,56742.0,17419794.0,50.0,20201130.0,0.0,0.0,6-well,24 mm,6.0,27600000.0,15350.0,0.6311519565217392
28,10.0,1.0,51938.0,16370857.6,50.0,20201130.0,0.0,0.0,6-well,24 mm,6.0,27799800.0,15760.0,0.588884006359758
29,10.0,1.0,50984.0,19373920.0,50.0,20201130.0,0.0,0.0,6-well,24 mm,6.0,42000000.0,19000.0,0.46128380952380954
30,10.0,1.0,49430.0,21096724.0,50.0,20201130.0,0.0,0.0,6-well,24 mm,6.0,48000000.0,21340.0,0.43951508333333333
31,10.0,0.0,5388.0,3868584.0,50.0,20201201.0,0.0,0.0,6-well,24 mm,6.0,12000000.0,35900.0,0.322382
32,10.0,0.0,5561.0,3592406.0,50.0,20201201.0,0.0,0.0,6-well,24 mm,6.0,12000000.0,32300.0,0.2993671666666667
33,10.0,0.0,6383.0,4327674.0,50.0,20201201.0,0.0,0.0,6-well,24 mm,6.0,12000000.0,33900.0,0.3606395
34,10.0,0.0,6095.0,4205550.0,50.0,20201201.0,0.0,0.0,6-well,24 mm,6.0,12000000.0,34500.0,0.3504625
35,10.0,0.0,7486.0,4192160.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,28000.0,0.2328977777777778
36,10.0,0.0,7348.0,3791568.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,25800.0,0.21064266666666667
37,10.0,0.0,5375.0,3074500.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,28600.0,0.17080555555555554
38,10.0,0.0,6539.0,3583372.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,27400.0,0.1990762222222222
39,10.0,1.0,13206.0,6153996.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,23300.0,0.3418886666666667
40,10.0,1.0,11428.0,5005464.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,21900.0,0.27808133333333335
41,10.0,1.0,11812.0,5409896.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,22900.0,0.3005497777777778
42,10.0,1.0,10148.0,4471208.8,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,23030.0,0.24840048888888888
43,10.0,0.0,,6771795.0,50.0,20201203.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.21161859375
44,10.0,0.0,,7513448.0,50.0,20201203.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.23479525
45,10.0,0.0,,11300000.0,50.0,20201204.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.353125
46,10.0,0.0,,6679476.0,50.0,20201204.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.208733625
47,10.0,0.0,,8509400.0,50.0,20201205.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.26591875
48,10.0,0.0,,7248872.0,50.0,20201205.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.22652725
